date,puissance_w,type_valeur,jour_semaine,pas_temps
2021-06-16 23:00:00,317.0,Mesurée,mercredi,60.0
2021-06-17 00:00:00,263.0,Mesurée,jeudi,60.0
2021-06-17 01:00:00,236.0,Mesurée,jeudi,60.0
2021-06-17 02:00:00,875.0,Mesurée,jeudi,60.0
2021-06-17 03:00:00,426.0,Mesurée,jeudi,60.0
2021-06-17 04:00:00,205.0,Mesurée,jeudi,60.0
2021-06-17 05:00:00,208.0,Mesurée,jeudi,60.0
2021-06-17 06:00:00,236.0,Mesurée,jeudi,60.0
2021-06-17 07:00:00,184.0,Mesurée,jeudi,60.0
2021-06-17 08:00:00,481.0,Mesurée,jeudi,60.0
2021-06-17 09:00:00,1208.0,Mesurée,jeudi,60.0
2021-06-17 10:00:00,2406.0,Mesurée,jeudi,60.0
2021-06-17 11:00:00,735.0,Mesurée,jeudi,60.0
2021-06-17 12:00:00,569.0,Mesurée,jeudi,60.0
2021-06-17 13:00:00,465.0,Mesurée,jeudi,60.0
2021-06-17 14:00:00,388.5,Interpolée,jeudi,60.0
2021-06-17 15:00:00,312.0,Mesurée,jeudi,60.0
2021-06-17 16:00:00,3835.0,Mesurée,jeudi,60.0
2021-06-17 17:00:00,7683.0,Mesurée,jeudi,60.0
2021-06-17 18:00:00,1904.0,Mesurée,jeudi,60.0
2021-06-17 19:00:00,1273.0,Mesurée,jeudi,60.0
2021-06-17 20:00:00,2142.0,Mesurée,jeudi,60.0
2021-06-17 21:00:00,2066.0,Mesurée,jeudi,60.0
2021-06-17 22:00:00,836.0,Mesurée,jeudi,60.0
2021-06-17 23:00:00,255.0,Mesurée,jeudi,60.0
2021-06-18 00:00:00,533.0,Mesurée,vendredi,60.0
2021-06-18 01:00:00,292.0,Mesurée,vendredi,60.0
2021-06-18 02:00:00,255.0,Mesurée,vendredi,60.0
2021-06-18 03:00:00,238.0,Mesurée,vendredi,60.0
2021-06-18 04:00:00,717.0,Mesurée,vendredi,60.0
2021-06-18 05:00:00,549.0,Mesurée,vendredi,60.0
2021-06-18 06:00:00,263.0,Mesurée,vendredi,60.0
2021-06-18 07:00:00,254.0,Mesurée,vendredi,60.0
2021-06-18 08:00:00,3252.0,Mesurée,vendredi,60.0
2021-06-18 09:00:00,949.0,Mesurée,vendredi,60.0
2021-06-18 10:00:00,2296.0,Mesurée,vendredi,60.0
2021-06-18 11:00:00,1732.0,Mesurée,vendredi,60.0
2021-06-18 12:00:00,983.0,Mesurée,vendredi,60.0
2021-06-18 13:00:00,256.0,Mesurée,vendredi,60.0
2021-06-18 14:00:00,305.0,Mesurée,vendredi,60.0
2021-06-18 15:00:00,285.0,Mesurée,vendredi,60.0
2021-06-18 16:00:00,323.0,Mesurée,vendredi,60.0
2021-06-18 17:00:00,377.0,Mesurée,vendredi,60.0
2021-06-18 18:00:00,715.0,Mesurée,vendredi,60.0
2021-06-18 19:00:00,1417.0,Mesurée,vendredi,60.0
2021-06-18 20:00:00,284.0,Mesurée,vendredi,60.0
2021-06-18 21:00:00,277.0,Mesurée,vendredi,60.0
2021-06-18 22:00:00,240.0,Mesurée,vendredi,60.0
2021-06-18 23:00:00,315.0,Mesurée,vendredi,60.0
