Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
25621707630391;Courbe de charge;20/10/2020;20/10/2021;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2021-06-23T18:00:00+02:00;829
2021-06-23T19:00:00+02:00;2197
2021-06-23T20:00:00+02:00;2557
2021-06-23T21:00:00+02:00;799
2021-06-23T22:00:00+02:00;732
2021-06-23T23:00:00+02:00;788
2021-06-24T00:00:00+02:00;2055
2021-06-24T01:00:00+02:00;330
2021-06-24T02:00:00+02:00;278
2021-06-24T03:00:00+02:00;250
2021-06-24T04:00:00+02:00;249
2021-06-24T05:00:00+02:00;287
2021-06-24T06:00:00+02:00;239
2021-06-24T07:00:00+02:00;1301
2021-06-24T08:00:00+02:00;1921
2021-06-24T09:00:00+02:00;328
2021-06-24T10:00:00+02:00;968
2021-06-24T11:00:00+02:00;381
2021-06-24T12:00:00+02:00;287
2021-06-24T13:00:00+02:00;343
2021-06-24T14:00:00+02:00;402
2021-06-24T15:00:00+02:00;273
2021-06-24T16:00:00+02:00;262
2021-06-24T17:00:00+02:00;337
2021-06-24T18:00:00+02:00;351
2021-06-24T19:00:00+02:00;1844
2021-06-24T20:00:00+02:00;828
2021-06-24T21:00:00+02:00;1724
2021-06-24T22:00:00+02:00;1187
2021-06-24T23:00:00+02:00;1975
2021-06-25T00:00:00+02:00;251
2021-06-25T01:00:00+02:00;267
2021-06-25T02:00:00+02:00;237
2021-06-25T03:00:00+02:00;280
2021-06-25T04:00:00+02:00;275
2021-06-25T05:00:00+02:00;309
2021-06-25T06:00:00+02:00;382
2021-06-25T07:00:00+02:00;455
2021-06-25T08:00:00+02:00;461
2021-06-25T09:00:00+02:00;1110
2021-06-25T10:00:00+02:00;247
2021-06-25T11:00:00+02:00;313
2021-06-25T12:00:00+02:00;274
2021-06-25T13:00:00+02:00;368
2021-06-25T14:00:00+02:00;845
2021-06-25T15:00:00+02:00;2959
2021-06-25T16:00:00+02:00;346
2021-06-25T17:00:00+02:00;289
2021-06-25T18:00:00+02:00;1470
2021-06-25T19:00:00+02:00;612
2021-06-25T20:00:00+02:00;2750
2021-06-25T21:00:00+02:00;328
2021-06-25T22:00:00+02:00;1675
2021-06-25T23:00:00+02:00;2608
2021-06-27T00:00:00+02:00;746
2021-06-27T01:00:00+02:00;327
2021-06-27T02:00:00+02:00;337
2021-06-27T03:00:00+02:00;263
2021-06-27T04:00:00+02:00;255
2021-06-27T05:00:00+02:00;612
2021-06-27T06:00:00+02:00;259
2021-06-27T07:00:00+02:00;824
2021-06-27T08:00:00+02:00;301
2021-06-27T09:00:00+02:00;353
2021-06-27T10:00:00+02:00;409
2021-06-27T11:00:00+02:00;717
2021-06-27T12:00:00+02:00;737
2021-06-27T13:00:00+02:00;544
2021-06-27T14:00:00+02:00;1536
2021-06-27T15:00:00+02:00;1013
2021-06-27T16:00:00+02:00;771
2021-06-27T17:00:00+02:00;289
2021-06-27T18:00:00+02:00;289
2021-06-27T19:00:00+02:00;316
2021-06-27T20:00:00+02:00;298
2021-06-27T21:00:00+02:00;1560
2021-06-27T22:00:00+02:00;2289
2021-06-27T23:00:00+02:00;628
